Model,Fault Type,Noise 0.00,Noise 0.05,Noise 0.10,Noise 0.15,Noise 0.20,Noise 0.25,Noise 0.30,Noise 0.35,Noise 0.40,Noise 0.45,Noise 0.50,Noise 0.55,Noise 0.60,Noise 0.65,Noise 0.70,Noise 0.75,Noise 0.80,Noise 0.85,Noise 0.90,Noise 0.95,Noise 1.00,Baseline,Degradation,Avg Acc
Cost Sensitive LGBM,Offset Bias,0.963,0.9444,0.9444,0.9444,0.963,0.9259,0.963,0.9444,0.9074,0.9074,0.9259,0.9259,0.9259,0.9259,0.9259,0.8704,0.9074,0.8889,0.8889,0.8519,0.8333,0.963,0.1296,0.9205
Cost Sensitive LGBM,Sensor Aging,0.963,0.9444,0.9444,0.9074,0.9444,0.8704,0.8889,0.9074,0.8333,0.8333,0.8519,0.7407,0.7778,0.7778,0.8148,0.8519,0.7407,0.6852,0.8333,0.7963,0.7037,0.963,0.2593,0.8359
Cost Sensitive LGBM,Thermal Drift,0.9444,0.9444,0.9259,0.9074,0.9444,0.9444,0.9444,0.9074,0.9815,0.9259,0.8889,0.963,0.8704,0.8889,0.8519,0.8889,0.9074,0.8519,0.8333,0.8519,0.8889,0.9444,0.0556,0.9067
Cost Sensitive LGBM,Radiation,0.9259,0.9444,0.963,0.9444,0.8519,0.963,0.8889,0.7778,0.9259,0.7778,0.8889,0.8519,0.8889,0.7222,0.8333,0.7778,0.7593,0.7037,0.8148,0.7037,0.7778,0.9259,0.1481,0.8351
Cost Sensitive LGBM,High Noise,0.963,0.963,0.963,0.9444,0.9444,0.9259,0.9259,0.8704,0.8889,0.8704,0.9074,0.8704,0.9074,0.8333,0.8148,0.7778,0.7407,0.7407,0.7037,0.7593,0.7593,0.963,0.2037,0.856
Cost Sensitive LGBM,Gas Leakage,0.8889,0.9074,0.963,0.9259,0.9074,0.963,0.9074,0.8889,0.8333,0.9074,0.9074,0.7963,0.8519,0.9074,0.8148,0.8333,0.7407,0.7407,0.7778,0.7778,0.7963,0.8889,0.0926,0.8494
Cost Sensitive LGBM,Signal Drift,0.9259,0.9259,0.9259,0.9259,0.8889,0.9074,0.8704,0.8889,0.8704,0.8889,0.8333,0.8704,0.8148,0.8704,0.7778,0.8148,0.6667,0.8704,0.7593,0.7963,0.7037,0.9259,0.2222,0.8444
Baseline LGBM,Wiring Reversal,0.963,0.963,0.963,0.9444,0.9444,0.963,0.9444,0.963,0.963,0.963,0.963,0.8519,0.963,0.9259,0.9444,0.8333,0.8889,0.9074,0.9074,0.8519,0.8704,0.963,0.0926,0.9312
Baseline LGBM,Offset Bias,0.963,0.963,0.963,0.9444,0.9259,0.9259,0.963,0.9444,0.9444,0.9074,0.9259,0.963,0.9259,0.8704,0.9444,0.8704,0.8704,0.9074,0.8889,0.8333,0.9444,0.963,0.0185,0.9285
Baseline LGBM,Sensor Aging,0.963,0.963,0.9074,0.9259,0.9259,0.8889,0.8704,0.8519,0.8704,0.8333,0.8704,0.8704,0.7963,0.8519,0.8148,0.7963,0.8148,0.8148,0.8519,0.6852,0.7593,0.963,0.2037,0.8446
Baseline LGBM,Thermal Drift,0.9444,0.963,0.963,0.9259,0.9444,0.9259,0.9444,0.8889,0.8889,0.8889,0.9074,0.9259,0.9074,0.8889,0.9074,0.9074,0.9259,0.8704,0.9074,0.8148,0.9259,0.9444,0.0185,0.9113
Baseline LGBM,Radiation,0.9259,0.9259,0.9259,0.8704,0.9074,0.8519,0.8704,0.8704,0.7963,0.8148,0.7963,0.7963,0.8148,0.8148,0.7407,0.8519,0.7593,0.7963,0.7222,0.7037,0.8519,0.9259,0.0741,0.8262
Baseline LGBM,High Noise,0.963,0.963,0.9444,0.9259,0.9259,0.8889,0.9444,0.9444,0.8889,0.8704,0.8519,0.8148,0.8148,0.7593,0.7963,0.8148,0.7963,0.7407,0.7593,0.7778,0.8333,0.963,0.1296,0.8509
Baseline LGBM,Gas Leakage,0.8889,0.9074,0.9444,0.8704,0.9074,0.8519,0.9259,0.9074,0.8704,0.9074,0.8704,0.9259,0.8704,0.8519,0.8704,0.8148,0.8704,0.7037,0.7222,0.8519,0.7963,0.8889,0.0926,0.8582
Baseline LGBM,Signal Drift,0.9259,0.9259,0.9074,0.8889,0.8889,0.9074,0.8704,0.8704,0.9259,0.8889,0.8333,0.8333,0.8519,0.7407,0.7963,0.7778,0.7778,0.7963,0.7963,0.7778,0.8333,0.9259,0.0926,0.8432
CatBoost,Wiring Reversal,1,1,0.9815,1,0.963,0.9259,0.9815,0.9259,0.963,0.963,0.963,0.963,0.9074,0.9259,0.8889,0.9259,0.8333,0.9259,0.9074,0.9074,0.9444,1,0.0556,0.9442
CatBoost,Offset Bias,0.963,0.963,0.9444,0.9444,0.9815,0.9259,0.9444,0.9444,0.9815,0.963,0.963,0.9074,0.9074,0.9259,0.8889,0.9259,0.8889,0.8519,0.9074,0.963,0.7963,0.963,0.1667,0.9295
CatBoost,Sensor Aging,0.963,0.963,0.9444,0.9259,0.9444,0.9259,0.8704,0.8704,0.8889,0.8889,0.8889,0.8148,0.8704,0.7963,0.8148,0.9074,0.8889,0.7963,0.7407,0.7222,0.7222,0.963,0.2407,0.8569
CatBoost,Thermal Drift,0.9444,0.9259,0.9444,0.9444,0.9444,0.9259,0.9259,0.9259,0.9259,0.9074,0.9074,0.8704,0.9444,0.8704,0.7963,0.8889,0.8519,0.8704,0.8333,0.8704,0.8519,0.9444,0.0926,0.8956
CatBoost,Radiation,0.9074,0.9259,0.8889,0.963,0.8704,0.8889,0.9259,0.8519,0.9074,0.8519,0.8519,0.8519,0.8519,0.8704,0.9444,0.7963,0.7593,0.7593,0.7963,0.7407,0.6667,0.9074,0.2407,0.8396
CatBoost,High Noise,0.9815,0.963,0.9444,0.9815,0.9259,0.9444,0.9259,0.8889,0.8704,0.9815,0.8519,0.8889,0.8519,0.9074,0.8333,0.7778,0.8704,0.8333,0.7222,0.8148,0.7407,0.9815,0.2407,0.8767
CatBoost,Gas Leakage,0.9259,0.9259,0.9444,0.9074,0.9259,0.9259,0.8889,0.9074,0.8519,0.9259,0.8889,0.9259,0.8148,0.8889,0.9074,0.8148,0.8148,0.9074,0.7963,0.8148,0.8148,0.9259,0.1111,0.8783
CatBoost,Signal Drift,0.9259,0.9259,0.9074,0.9259,0.9074,0.9074,0.9259,0.9259,0.9074,0.8704,0.8333,0.8889,0.8148,0.8704,0.8889,0.8704,0.8333,0.8704,0.8519,0.7407,0.7778,0.9259,0.1481,0.8706
NGBoost,Wiring Reversal,0.9815,0.9815,0.9815,0.9444,1,0.9815,0.9815,0.9444,0.963,0.9259,0.9444,1,0.9259,0.8704,0.8704,0.9074,0.8519,0.8704,0.8519,0.8704,0.8889,1,0.1111,0.9304
NGBoost,Offset Bias,0.963,0.963,0.9444,0.963,0.9444,0.9444,0.963,0.9815,0.963,0.9074,0.963,0.8889,0.9259,0.963,0.8889,0.8704,0.9074,0.8519,0.9259,0.7963,0.8889,0.963,0.0741,0.9281
NGBoost,Sensor Aging,0.9259,0.9259,0.9074,0.8704,0.8148,0.8148,0.8333,0.7222,0.7407,0.7037,0.6852,0.8148,0.6852,0.6111,0.6481,0.6667,0.7593,0.7222,0.6667,0.7593,0.8148,0.9259,0.1111,0.76
NGBoost,Thermal Drift,0.9074,0.9074,0.9444,0.8889,0.9074,0.8889,0.8704,0.9074,0.7963,0.7963,0.7593,0.8148,0.7963,0.8148,0.7407,0.7778,0.7963,0.7407,0.7778,0.7407,0.7037,0.9074,0.2037,0.8118
NGBoost,Radiation,0.7778,0.7593,0.7222,0.7407,0.7778,0.7963,0.7222,0.7222,0.7407,0.6852,0.7593,0.6852,0.7037,0.7593,0.6111,0.6481,0.7593,0.6852,0.6667,0.7593,0.7222,0.7778,0.0556,0.7228
NGBoost,High Noise,0.9259,0.9074,0.8889,0.9074,0.8333,0.7778,0.7963,0.7778,0.7593,0.7778,0.7593,0.7778,0.7037,0.7963,0.8519,0.7963,0.6481,0.6667,0.7963,0.7778,0.7593,0.9259,0.1667,0.7874
NGBoost,Gas Leakage,0.8333,0.8704,0.8333,0.8889,0.7593,0.8148,0.7963,0.8148,0.7963,0.7963,0.7222,0.7407,0.8148,0.7407,0.7593,0.7778,0.7778,0.7963,0.8148,0.7037,0.7222,0.8333,0.1111,0.7842
NGBoost,Signal Drift,0.8333,0.8519,0.8333,0.8704,0.8704,0.8333,0.7963,0.7778,0.7778,0.7963,0.8704,0.8519,0.7778,0.7407,0.6481,0.7593,0.7593,0.7222,0.7407,0.6852,0.7222,0.8333,0.1111,0.7831
Hybrid LGBM,Wiring Reversal,0.963,0.963,0.9444,0.963,0.963,0.9259,0.9259,0.9444,0.963,0.963,0.9074,0.9259,0.9444,0.9074,0.9444,0.8333,0.8519,0.8519,0.8889,0.8889,0.8704,0.963,0.0926,0.9219
Hybrid LGBM,Offset Bias,0.9444,0.9444,0.963,0.963,0.963,0.9444,0.9259,0.963,0.9815,0.9259,0.9815,0.9259,0.9444,0.9074,0.9259,0.8704,0.8148,0.8333,0.8704,0.7778,0.8889,0.9444,0.0556,0.9185
Hybrid LGBM,Sensor Aging,0.7778,0.7778,0.7593,0.7222,0.7407,0.7778,0.8333,0.7407,0.7963,0.7593,0.8148,0.8519,0.8704,0.7407,0.7407,0.7037,0.7222,0.7222,0.8148,0.7593,0.8519,0.7778,-0.0741,0.7753
Hybrid LGBM,Thermal Drift,0.9444,0.963,0.9259,0.9259,0.9259,0.9444,0.9444,0.8148,0.8704,0.8148,0.9074,0.7222,0.7778,0.6667,0.7222,0.7407,0.6667,0.7037,0.5926,0.6481,0.5926,0.9444,0.3519,0.7902
Hybrid LGBM,Radiation,0.5556,0.5556,0.5556,0.6481,0.5741,0.6296,0.7037,0.6296,0.7222,0.7407,0.6852,0.7593,0.7037,0.8333,0.7593,0.7037,0.8148,0.6852,0.7778,0.7963,0.7222,0.5556,-0.1667,0.7013
GBDT++,Wiring Reversal,1,1,1,0.9815,0.9815,0.9815,0.9444,0.9259,0.9074,0.9444,0.9259,0.8889,0.9259,0.9259,0.9074,0.8519,0.9074,0.8889,0.7778,0.8333,0.9074,1,0.0926,0.9194
GBDT++,Offset Bias,0.963,0.963,0.963,0.963,0.963,0.9444,0.963,0.963,0.9444,0.9815,0.9259,0.8889,0.9074,0.8889,0.7963,0.9259,0.8889,0.8704,0.8519,0.8519,0.8148,0.963,0.1481,0.9141
GBDT++,Sensor Aging,0.9444,0.9259,0.9444,0.8889,0.8704,0.8519,0.8333,0.8704,0.8333,0.8148,0.8519,0.8519,0.8148,0.8148,0.7963,0.7593,0.7593,0.7593,0.6852,0.7778,0.7407,0.9444,0.2037,0.8238
GBDT++,Thermal Drift,0.8704,0.8889,0.8704,0.8889,0.9074,0.8519,0.7963,0.7778,0.8519,0.8148,0.8148,0.8889,0.7407,0.8704,0.6852,0.6852,0.7593,0.7407,0.7778,0.6481,0.6481,0.8704,0.2222,0.7958
GBDT++,Radiation,0.8704,0.8704,0.8889,0.8333,0.9259,0.8333,0.7963,0.8333,0.8889,0.7778,0.8333,0.7778,0.9074,0.7407,0.7593,0.7778,0.7963,0.8704,0.8148,0.7407,0.7778,0.8704,0.0926,0.8212
GBDT++,High Noise,0.8889,0.8704,0.8704,0.8519,0.8519,0.8519,0.8333,0.8704,0.7963,0.8148,0.7407,0.7407,0.8333,0.7222,0.7407,0.6667,0.7778,0.7407,0.8333,0.7778,0.7593,0.8889,0.1296,0.806
GBDT++,Gas Leakage,0.8148,0.7778,0.7778,0.7963,0.7963,0.7963,0.7963,0.7407,0.7593,0.7593,0.7593,0.8148,0.7963,0.6852,0.7407,0.7963,0.7407,0.7037,0.6667,0.7407,0.6296,0.8148,0.1852,0.7591
GBDT++,Signal Drift,0.7963,0.7593,0.8148,0.8333,0.7963,0.7963,0.7222,0.8519,0.6852,0.7407,0.6481,0.7037,0.7037,0.7407,0.7222,0.7593,0.7222,0.7407,0.6481,0.6667,0.7593,0.7963,0.037,0.7444
