Readings,temperature,pressure,VRS01,VRR12,VRR22,VRR23,VRR33,VRS03,VRN13,VRS21,VRN16,VRN26,VRR43,VRS31,VRR21,VRR34,VRR11,VRR47,VRN21,VRI02,VRI01,VRR32,VRR41,VRS11,VRN24,VRN12,VRN23,VRN15,VRS12,VRS04,VRN11,VRR44,VRS22,VRR42,VRS02,VRR31,VRR24,VRS41,VRN27,VRR13,VRN14,VRR37,VRS32,VRS42,VRI03,VRN17,VRN22,VRN25,VRR17,VRR14,VRR27,Pred
11,118.1592857,15.61847,0.03397641,0.192123505,0.058481552,0.051057999,0.112727936,0.047436935,10.04768704,0.231409698,62.79723694,-45.12055232,-251.1614772,0.251128662,0.112624191,-311.1421655,0.010126236,-246.0442927,21.11550345,0.003001373,1.770061676,-0.015712784,-256.2272057,0.230763443,-27.96277338,69.41691945,58.15953816,44.01418436,0.2436474,0.075098923,17.56968953,-324.414694,0.233112579,-234.6173336,0.190508652,-0.001155762,0.050048248,0.19220195,18.24702644,0.033592896,-13.05006889,-0.027285431,0.187924118,0.14136322,0.00499585,26.50341391,29.28027321,7.104863861,0.185622879,0.023034622,-0.020015991,1
12,118.3373509,16.18077895,0.033985352,0.192317902,0.058363174,0.051094177,0.112581833,0.047410172,10.04768704,0.231364288,62.79723694,-45.12055232,-229.4583008,0.251053787,0.112547119,-331.0830927,0.010166153,-276.2875863,21.11550345,0.003001144,1.770413818,-0.015908035,-248.290581,0.23077272,-27.96277338,69.41691945,58.15953816,44.01418436,0.243652466,0.075105469,17.56968953,-360.7452987,0.233043869,-255.5872471,0.103843704,-0.000530594,0.049930817,0.192282379,18.24702644,0.033422806,-13.05006889,-0.027285431,0.187924698,0.141390488,0.004995865,26.50341391,29.28027321,7.104863861,0.185672272,0.022799774,-0.020077393,0
13,118.5246364,16.16918571,0.033992783,0.192085052,0.058242737,0.051210495,0.112658752,0.047363297,10.04768704,0.231275909,62.79723694,-45.12055232,-252.2954008,0.25088501,0.112236725,-311.4127023,0.009995712,-245.1410344,21.11550345,0.003001022,1.770721191,-0.015892197,-257.0795643,0.230704926,-27.96277338,69.41691945,58.15953816,44.01418436,0.24360849,0.075049042,17.56968953,-322.1521975,0.232753601,-234.728667,0.079423492,-0.001799911,0.050077286,0.192238922,18.24702644,0.033209686,-13.05006889,-0.027285431,0.187898758,0.141391296,0.00499501,26.50341391,29.28027321,7.104863861,0.185480698,0.02261908,-0.020131531,0
14,118.3166034,16.16593469,0.033974838,0.19206926,0.058447235,0.050886795,0.112524002,0.047382858,10.04768704,0.231221695,62.79723694,-45.12055232,-229.0633453,0.25094519,0.112387115,-330.9001949,0.009999969,-277.4887844,21.11550345,0.003000977,1.770351151,-0.016208572,-248.178742,0.230753174,-27.96277338,69.41691945,58.15953816,44.01418436,0.243628571,0.075065506,17.56968953,-362.2388203,0.232863373,-255.7030936,0.079416229,-0.001059372,0.049970047,0.192195496,18.24702644,0.033002472,-13.05006889,-0.027285431,0.187917175,0.141404755,0.004994858,26.50341391,29.28027321,7.104863861,0.185578644,0.022796082,-0.02012204,0
15,118.0929286,16.16890364,0.03398941,0.192111176,0.058587036,0.050901077,0.112589966,0.047392441,10.04768704,0.231273239,62.79723694,-45.12055232,-251.3110465,0.250949875,0.112641357,-311.4959892,0.00988649,-244.4706864,21.11550345,0.003001068,1.770133041,-0.016276474,-256.9147936,0.230719376,-27.96277338,69.41691945,58.15953816,44.01418436,0.243636795,0.075072174,17.56968953,-321.4148196,0.232864731,-234.6338533,0.079414886,-0.000232452,0.049928909,0.192225876,18.24702644,0.032727722,-13.05006889,-0.027285431,0.187909286,0.141418243,0.00499585,26.50341391,29.28027321,7.104863861,0.185478638,0.022826157,-0.01989946,0
16,117.7133871,14.21645618,0.033960098,0.192254425,0.058489395,0.050869736,0.112740707,0.047399185,10.04768704,0.231301758,62.79723694,-45.12055232,-230.2680045,0.251075226,0.112587921,-332.1943884,0.009943207,-277.8825172,21.11550345,0.003001297,1.769694183,-0.015819366,-248.684231,0.230735245,-27.96277338,69.41691945,58.15953816,44.01418436,0.243565414,0.075078201,17.56968953,-362.0298864,0.23301564,-254.1558322,0.079402451,-0.001361893,0.04993541,0.192214722,18.24702644,0.032872818,-13.05006889,-0.027285431,0.187864182,0.141345795,0.004995514,26.50341391,29.28027321,7.104863861,0.185545593,0.022945724,-0.020298645,0
17,117.2135439,6.61316,0.033948135,0.192263702,0.058435669,0.050895279,0.112717239,0.047396164,10.04768704,0.231315887,62.79723694,-45.12055232,-252.2530007,0.251100006,0.112501236,-310.8177245,0.010076065,-243.5961851,21.11550345,0.003001099,1.769746979,-0.015667801,-256.6792897,0.230726974,-27.96277338,69.41691945,58.15953816,44.01418436,0.243536728,0.075082748,17.56968953,-321.4917228,0.233128036,-235.2960627,0.079379807,-0.000995224,0.049767059,0.192201492,18.24702644,0.033182343,-13.05006889,-0.027285431,0.187856812,0.141353424,0.004995407,26.50341391,29.28027321,7.104863861,0.185641312,0.023004684,-0.020491974,1
18,117.3005091,3.096065909,0.033970459,0.192308609,0.058357056,0.05102861,0.1127314,0.047352844,10.04768704,0.23119072,62.79723694,-45.12055232,-229.5214411,0.250938446,0.112446289,-331.4671733,0.009837204,-278.6815511,21.11550345,0.003000992,1.770452713,-0.016152206,-249.1353267,0.230665787,-27.96277338,69.41691945,58.15953816,44.01418436,0.243596756,0.075058426,17.56968953,-362.5815195,0.232860504,-254.2776579,0.079424637,-0.0014216,0.049940857,0.192186096,18.24702644,0.033222076,-13.05006889,-0.027285431,0.187852722,0.141449341,0.004994965,26.50341391,29.28027321,7.104863861,0.185599625,0.022856262,-0.020382004,0
19,117.2278793,1.973083651,0.033980453,0.192103195,0.058341568,0.051061798,0.112602676,0.047320908,10.04768704,0.231140747,62.79723694,-45.12055232,-252.0491209,0.250824173,0.112133102,-310.019632,0.009523788,-242.7032268,21.11550345,0.003000717,1.771013153,-0.016495499,-256.7624937,0.230661819,-27.96277338,69.41691945,58.15953816,44.01418436,0.243626846,0.075016922,17.56968953,-320.8638027,0.232648438,-235.2811962,0.079430664,-0.001614014,0.049840134,0.192201813,18.24702644,0.032973221,-13.05006889,-0.027285431,0.187890625,0.141524689,0.004994736,26.50341391,29.28027321,7.104863861,0.185473007,0.022667984,-0.020229752,0
20,117.1827018,1.537308448,0.033973953,0.192134537,0.058583298,0.051032043,0.112463608,0.0472995,10.04768704,0.231097,62.79723694,-45.12055232,-228.8774643,0.250746811,0.112225052,-332.1335303,0.009609329,-279.4999756,21.11550345,0.003000656,1.770826355,-0.016485687,-248.6264648,0.230686584,-27.96277338,69.41691945,58.15953816,44.01418436,0.24360054,0.075025726,17.56968953,-361.9321824,0.232616745,-253.7926381,0.079439392,-0.000680496,0.050115784,0.192162094,18.24702644,0.032809601,-13.05006889,-0.027285431,0.187916016,0.141484833,0.004995255,26.50341391,29.28027321,7.104863861,0.18548439,0.02255275,-0.020157715,0
21,117.1207273,1.549705091,0.033951447,0.192332169,0.058456802,0.051132477,0.112509613,0.047337784,10.04768704,0.231186264,62.79723694,-45.12055232,-252.7587216,0.250891525,0.112416977,-311.2721583,0.009674408,-242.8085122,21.11550345,0.003000717,1.770691986,-0.016347351,-256.185109,0.230688446,-27.96277338,69.41691945,58.15953816,44.01418436,0.243611023,0.075036819,17.56968953,-321.3975898,0.232775482,-235.7899062,0.079422607,-0.000609726,0.050111847,0.192210968,18.24702644,0.032750565,-13.05006889,-0.027285431,0.18792511,0.141475555,0.004995697,26.50341391,29.28027321,7.104863861,0.185536087,0.022682053,-0.020303879,0
22,117.0685741,1.750610161,0.033942413,0.192288437,0.058444397,0.051072296,0.112353165,0.04732695,10.04768704,0.231189682,62.79723694,-45.12055232,-228.6758163,0.250863235,0.112303604,-331.6583095,0.009684769,-278.8688503,21.11550345,0.003001007,1.770758224,-0.016310532,-249.5699023,0.23067717,-27.96277338,69.41691945,58.15953816,44.01418436,0.243593262,0.075018051,17.56968953,-362.8658307,0.232734695,-254.178326,0.079431946,-0.001165924,0.050103409,0.192172211,18.24702644,0.032912766,-13.05006889,-0.027285431,0.187884949,0.14149437,0.004995316,26.50341391,29.28027321,7.104863861,0.185526657,0.022661606,-0.020164749,0
23,117.0208475,1.846269138,0.033963211,0.192290161,0.058378769,0.051073532,0.112273499,0.047303116,10.04768704,0.231156998,62.79723694,-45.12055232,-251.4383845,0.250815598,0.112093674,-311.8070342,0.009568787,-243.2709017,21.11550345,0.003000732,1.771397385,-0.016186478,-255.1609586,0.230681763,-27.96277338,69.41691945,58.15953816,44.01418436,0.243657654,0.075018921,17.56968953,-321.3138343,0.232636627,-235.3069931,0.07946875,-0.001623871,0.050103699,0.192212692,18.24702644,0.032880966,-13.05006889,-0.027285431,0.187909393,0.141558807,0.004995331,26.50341391,29.28027321,7.104863861,0.185442703,0.022379684,-0.020240158,0
24,116.937434,1.818701525,0.033987595,0.192389633,0.058038696,0.051168396,0.112285385,0.047285172,10.04768704,0.231092468,62.79723694,-45.12055232,-230.0234518,0.250717377,0.111983322,-331.4596156,0.009252991,-277.9856369,21.11550345,0.003000763,1.771742294,-0.016705139,-250.1639718,0.230677505,-27.96277338,69.41691945,58.15953816,44.01418436,0.243633789,0.07495874,17.56968953,-362.3864265,0.23242363,-254.7953042,0.079473251,-0.001003784,0.049967468,0.192204987,18.24702644,0.032551178,-13.05006889,-0.027285431,0.187936722,0.141534531,0.004995087,26.50341391,29.28027321,7.104863861,0.185295792,0.0223396,-0.020248672,0
25,116.4683699,1.886653934,0.033967194,0.192286003,0.058264252,0.051230927,0.112303658,0.047289352,10.04768704,0.231135376,62.79723694,-45.12055232,-250.9535538,0.250794258,0.11203672,-310.9974375,0.00944796,-247.4332685,21.11550345,0.003000748,1.77152771,-0.016294418,-253.2039639,0.230655228,-27.96277338,69.41691945,58.15953816,44.01418436,0.24365197,0.074998047,17.56968953,-324.2479733,0.232455948,-235.2135351,0.079467285,-0.001554199,0.050153992,0.19222226,18.24702644,0.032517975,-13.05006889,-0.027285431,0.187898956,0.141551292,0.004994957,26.50341391,29.28027321,7.104863861,0.18549382,0.02244175,-0.020165421,0
26,117.2774054,1.833668167,0.033973465,0.192384689,0.058167213,0.05103746,0.112077072,0.047289993,10.04768704,0.231143227,62.79723694,-45.12055232,-237.8564004,0.250898117,0.112094337,-324.1004879,0.009343483,-262.320221,21.11550345,0.003000877,1.771212181,-0.016180473,-251.961845,0.230639854,-27.96277338,69.41691945,58.15953816,44.01418436,0.243661507,0.074979698,17.56968953,-343.9095277,0.23243914,-245.0137621,0.079457962,-0.001535713,0.050115799,0.192203308,18.24702644,0.032555122,-13.05006889,-0.027285431,0.187911774,0.141521202,0.004994705,26.50341391,29.28027321,7.104863861,0.185566315,0.022552704,-0.020154526,0
27,119.9255309,1.704861379,0.033963097,0.19226609,0.058138184,0.050831253,0.112558304,0.047313423,10.04768704,0.231185104,62.79723694,-45.12055232,-240.4922256,0.250809875,0.11201078,-320.0668163,0.009365082,-258.3215842,21.11550345,0.003001007,1.771158386,-0.016223167,-253.2184519,0.230607689,-27.96277338,69.41691945,58.15953816,44.01418436,0.243641136,0.074993805,17.56968953,-339.3722584,0.232489243,-245.2212656,0.079455307,-0.001714119,0.04999102,0.192202354,18.24702644,0.03258844,-13.05006889,-0.027285431,0.18789566,0.141516014,0.004994995,26.50341391,29.28027321,7.104863861,0.185506012,0.022492889,-0.020260445,0
28,124.1436437,1.624351071,0.033991135,0.192324142,0.058286224,0.051136765,0.112294281,0.047299347,10.04768704,0.231129562,62.79723694,-45.12055232,-230.9674249,0.250976761,0.112106369,-331.7561594,0.009559021,-277.0063876,21.11550345,0.003000748,1.771252121,-0.016314499,-250.3684111,0.230634918,-27.96277338,69.41691945,58.15953816,44.01418436,0.243777664,0.074977753,17.56968953,-361.0639127,0.232528915,-255.125139,0.079490875,-0.00144519,0.050112106,0.192342545,18.24702644,0.032689499,-13.05006889,-0.027285431,0.188074829,0.141546066,0.004995102,26.50341391,29.28027321,7.104863861,0.185601517,0.022562592,-0.020065598,0
29,128.3779759,1.602999464,0.03395932,0.192333862,0.058546127,0.051242798,0.112123337,0.047278061,10.04768704,0.23114296,62.79723694,-45.12055232,-251.4064623,0.250839539,0.112192505,-312.0479252,0.00964888,-246.3787329,21.11550345,0.003000885,1.770983231,-0.016071671,-255.5599962,0.230541306,-27.96277338,69.41691945,58.15953816,44.01418436,0.243565445,0.074978577,17.56968953,-323.1690369,0.232437012,-234.7923748,0.079445404,-0.001660049,0.05039946,0.192273148,18.24702644,0.032743515,-13.05006889,-0.027285431,0.187785812,0.141515152,0.004994812,26.50341391,29.28027321,7.104863861,0.185640015,0.022446777,-0.020043213,0
30,132.2099881,1.5703245,0.03398999,0.192216858,0.058222626,0.051397675,0.112442551,0.047233307,10.04768704,0.231085007,62.79723694,-45.12055232,-229.8605089,0.251027512,0.111988388,-330.4171152,0.009470596,-275.7417938,21.11550345,0.003000839,1.771872726,-0.016317276,-250.1031044,0.230605835,-27.96277338,69.41691945,58.15953816,44.01418436,0.243656525,0.074947235,17.56968953,-360.5376376,0.232306183,-255.0553049,0.079475357,-0.000716721,0.050555908,0.192237503,18.24702644,0.032755493,-13.05006889,-0.027285431,0.18802063,0.141520706,0.004994385,26.50341391,29.28027321,7.104863861,0.185525879,0.022429459,-0.020270706,0
31,135.6371392,1.593216102,0.033983154,0.192073471,0.058229523,0.051123016,0.112267746,0.047217346,10.04768704,0.231113922,62.79723694,-45.12055232,-251.0061415,0.25062587,0.111959366,-313.0861432,0.009279694,-246.387525,21.11550345,0.003000732,1.771687851,-0.0166147,-255.250863,0.230671799,-27.96277338,69.41691945,58.15953816,44.01418436,0.243657532,0.07492569,17.56968953,-323.2240189,0.232266144,-234.1633887,0.079476151,-0.000513748,0.050135605,0.192254715,18.24702644,0.031937317,-13.05006889,-0.027285431,0.187979828,0.141496765,0.004994568,26.50341391,29.28027321,7.104863861,0.185328049,0.022501907,-0.020219681,0
32,139.3758588,1.654371,0.03398909,0.192009033,0.058451477,0.051105255,0.112767914,0.047279312,10.04768704,0.23110878,62.79723694,-45.12055232,-230.0046901,0.250811615,0.112468048,-329.7746714,0.00941893,-275.3503221,21.11550345,0.003000839,1.771104523,-0.015934097,-249.1382396,0.230578461,-27.96277338,69.41691945,58.15953816,44.01418436,0.243719223,0.074981735,17.56968953,-360.9460519,0.232480865,-255.2502546,0.079434937,-0.000470169,0.050110565,0.192217682,18.24702644,0.0326026,-13.05006889,-0.027285431,0.187903687,0.141453568,0.004995102,26.50341391,29.28027321,7.104863861,0.185528366,0.022647018,-0.01990123,0
33,143.1806706,1.542142667,0.033975525,0.191896088,0.058431412,0.05130481,0.112431229,0.047299774,10.04768704,0.231216034,62.79723694,-45.12055232,-251.1740507,0.250624207,0.112317017,-313.4865601,0.009697159,-246.5937734,21.11550345,0.003001053,1.770748825,-0.015996384,-255.1394297,0.230612213,-27.96277338,69.41691945,58.15953816,44.01418436,0.24371225,0.075002945,17.56968953,-323.408275,0.23254216,-235.2848258,0.079434616,-0.001384583,0.050255188,0.192136505,18.24702644,0.032634659,-13.05006889,-0.027285431,0.187867157,0.141460724,0.004995178,26.50341391,29.28027321,7.104863861,0.185225067,0.022173019,-0.020129898,0
34,146.9738026,1.559385254,0.034019516,0.192061951,0.05838063,0.051365555,0.112613815,0.047312943,10.04768704,0.231254669,62.79723694,-45.12055232,-230.1268322,0.250807404,0.112225967,-328.7780339,0.009694061,-276.6663813,21.11550345,0.003001312,1.771829758,-0.015689362,-250.2695918,0.230694687,-27.96277338,69.41691945,58.15953816,44.01418436,0.243781357,0.074989471,17.56968953,-360.270654,0.232639771,-255.1078552,0.079510025,-0.000861221,0.050257263,0.192321899,18.24702644,0.032745514,-13.05006889,-0.027285431,0.188018707,0.141633698,0.004995377,26.50341391,29.28027321,7.104863861,0.185285919,0.022479141,-0.019795685,0
35,150.6676329,1.55951,0.034029892,0.192073593,0.058228455,0.051837997,0.112390396,0.047223572,10.04768704,0.231125366,62.79723694,-45.12055232,-251.1063605,0.250531372,0.111889923,-312.7011503,0.009022964,-245.5835477,21.11550345,0.003000778,1.772682938,-0.016877518,-255.2450011,0.230493362,-27.96277338,69.41691945,58.15953816,44.01418436,0.24379834,0.07493512,17.56968953,-323.0127392,0.232123215,-234.1022509,0.079509125,-0.001060913,0.050650574,0.192263779,18.24702644,0.03213588,-13.05006889,-0.027285431,0.187960831,0.141562988,0.004995514,26.50341391,29.28027321,7.104863861,0.185278,0.022750992,-0.020283981,0
36,154.2527625,1.594668929,0.03402742,0.191911194,0.058100952,0.051339905,0.112648911,0.047228989,10.04768704,0.231129562,62.79723694,-45.12055232,-229.5500544,0.250844238,0.111926926,-329.3293758,0.009080185,-276.2304731,21.11550345,0.003000732,1.772250076,-0.016891541,-249.9918347,0.230843094,-27.96277338,69.41691945,58.15953816,44.01418436,0.243505585,0.07495105,17.56968953,-360.8207066,0.232250122,-256.3207723,0.079492767,-0.000974487,0.050512115,0.192270386,18.24702644,0.032237244,-13.05006889,-0.027285431,0.187973526,0.141570465,0.004995316,26.50341391,29.28027321,7.104863861,0.18507988,0.022833832,-0.02010231,0
37,157.8409367,1.632537321,0.034049622,0.19204776,0.05827327,0.051384384,0.112546249,0.047262421,10.04768704,0.231102509,62.79723694,-45.12055232,-251.8711241,0.250661224,0.112218658,-313.1733388,0.008979568,-245.7330817,21.11550345,0.0030009,1.771864914,-0.016575943,-255.8578985,0.230704269,-27.96277338,69.41691945,58.15953816,44.01418436,0.243664063,0.074963318,17.56968953,-322.4280899,0.232412125,-233.5932666,0.079501633,-0.000775757,0.050340607,0.192191391,18.24702644,0.032398224,-13.05006889,-0.027285431,0.188071182,0.141488541,0.004995422,26.50341391,29.28027321,7.104863861,0.185297836,0.022598602,-0.01999736,0
38,161.518,1.657104138,0.034030014,0.192164948,0.058760193,0.051596603,0.11249617,0.047275635,10.04768704,0.231199905,62.79723694,-45.12055232,-229.9875523,0.250737183,0.112551819,-329.5897346,0.009331039,-275.8483508,21.11550345,0.003001221,1.771874512,-0.016559326,-249.1836604,0.230723434,-27.96277338,69.41691945,58.15953816,44.01418436,0.243733643,0.074975449,17.56968953,-361.351158,0.232486191,-255.6975399,0.079488327,-0.000627335,0.050529282,0.192323959,18.24702644,0.03271463,-13.05006889,-0.027285431,0.187877045,0.14157225,0.004995773,26.50341391,29.28027321,7.104863861,0.185493042,0.022704086,-0.019536728,0
39,165.0138608,1.769264746,0.034035858,0.192193909,0.058713257,0.051711166,0.112530136,0.047243988,10.04768704,0.231008102,62.79723694,-45.12055232,-250.7045155,0.250512238,0.11260141,-313.2102218,0.009161758,-246.6735118,21.11550345,0.003000763,1.772312515,-0.016595993,-256.1555491,0.230651291,-27.96277338,69.41691945,58.15953816,44.01418436,0.243941345,0.074964401,17.56968953,-322.1681989,0.232267166,-234.3468304,0.079502731,-0.000239944,0.050727875,0.192242065,18.24702644,0.032711929,-13.05006889,-0.027285431,0.188049728,0.141610931,0.004995361,26.50341391,29.28027321,7.104863861,0.185602798,0.022648529,-0.019391983,0
40,168.3411392,1.989150169,0.034062103,0.192233429,0.058321106,0.052015411,0.112104706,0.047174637,10.04768704,0.230923218,62.79723694,-45.12055232,-230.6136938,0.250637466,0.111828018,-329.3715603,0.008601105,-275.203474,21.11550345,0.003000732,1.772961014,-0.017090546,-248.7984836,0.230704529,-27.96277338,69.41691945,58.15953816,44.01418436,0.243734848,0.074914215,17.56968953,-361.6414889,0.231901337,-256.1013416,0.079551086,-0.001245361,0.051003296,0.192301407,18.24702644,0.03236618,-13.05006889,-0.027285431,0.187934525,0.141669525,0.004994675,26.50341391,29.28027321,7.104863861,0.185239517,0.022602844,-0.020306839,0
41,171.5855443,2.241833333,0.034076462,0.192118866,0.058763306,0.051965988,0.112148834,0.047090561,10.04768704,0.230865204,62.79723694,-45.12055232,-251.6327816,0.25024762,0.111845154,-312.6666716,0.008128784,-246.560749,21.11550345,0.003000397,1.773426315,-0.017405197,-256.7417524,0.230448929,-27.96277338,69.41691945,58.15953816,44.01418436,0.243803406,0.074867722,17.56968953,-322.1184454,0.231620392,-233.9131497,0.079547516,-0.001511749,0.051013046,0.192305557,18.24702644,0.031695419,-13.05006889,-0.027285431,0.188196289,0.141724503,0.004994171,26.50341391,29.28027321,7.104863861,0.185247955,0.022396423,-0.019613647,0
